办公类	A4纸；
茶饮类	AD钙奶瓶；
娱乐类	奥特曼玩具、奥特曼卡牌；
厨卫类	玻璃壶、玻璃花瓶、玻璃蜡烛杯、不锈钢垃圾桶、不锈钢勺子、玻璃盒；
客厅类	白炽灯、玻璃电子秤、百叶窗；
卧室类	被单、被套、布艺窗帘、被子、抱枕；
办公类	办公用纸、办公桌、玻璃放大镜、包书纸、笔筒、报纸、本子、包装纸；
茶饮类	杯垫、白酒瓶、玻璃杯、玻璃瓶、玻璃水瓶、保温杯、保温袋、保温壶、保温瓶、不锈钢杯子；
娱乐类	芭比娃娃、笔记本电脑、笔记本电源、布玩偶、布娃娃、变形金刚；
餐食类	八宝粥罐、饼干盒、冰淇淋盒、玻璃密封容器、保鲜膜带齿盒、包装盒；
穿搭类	布包、背包、布鞋、布鞋套、布质化妆包；
其他类	报废车辆、玻璃、玻璃渣；
厨卫类	菜刀、充电牙刷、搓衣板、炒菜铁锅、醋瓶；
客厅类	充电宝、充电器、充电线、充电装置、插线板、插座；
卧室类	床单、床垫、充电热水袋、吹风机、除湿机；
办公类	草稿本、草稿纸、传单、磁力贴、磁铁、传真机、测试卷；
茶饮类	茶叶罐、茶几、茶包装盒、纯牛奶纸盒；
娱乐类	磁带播放器、CD塑料盒；
穿搭类	衬衫、裁剪刀；
其他类	窗玻璃、车钥匙、CPU；
厨卫类	电冰箱、地板砖、电吹风、电磁炉、电动保温箱、电炖锅、电动卷发棒、电动剃须刀、电动牙刷、电饭煲、电烤箱、电热水壶、电蒸锅、电子洗牙器；
客厅类	电风扇、滴露瓶、电线、凳子；
卧室类	电热毯、电视机、地毯、电蚊拍、电子灭蚊拍、电子血压仪；
办公类	档案袋、点钞机、电话机、吊牌、刀片、地球仪、订书机、打印机、打印机墨盒、打印机色带、打印纸、钉子；
茶饮类	豆浆机、垫子、豆浆杯盖、豆浆纸杯；
娱乐类	电脑机箱、电脑包、电脑、大提琴、电子手表；
餐食类	蛋挞盒、点心盒；
穿搭类	打底裤；
美妆类	电动刮痧板；
其他类	刀、电锯、电瓶、打气筒、地铁票、电容、电阻、电子表；
厨卫类	废旧小家电、废食用油瓶；
客厅类	废报纸、废旧报纸、废旧吸铁石、废锁头、废钥匙；
办公类	废弃塑料文具、复印机、复印纸；
娱乐类	废旧电子产品；
餐食类	番茄酱瓶、废乳瓶；
穿搭类	帆布包、帆布袋、帆布鞋、翡翠手镯、废弃衣服、风衣、防晒衣；
其他类	废旧木材、废电路板；
